"","body_mass_g","culmen_depth_mm"
"1",3500,17.9
"2",3900,19.5
"3",3650,19.2
"4",3525,18.7
"5",3725,19.8
"6",3950,17.8
"7",3250,18.2
"8",3750,18.2
"9",4150,18.9
"10",3700,19.9
"11",3800,17.8
"12",3775,20.3
"13",3700,17.3
"14",4050,18.1
"15",3575,17.1
"16",4050,19.6
"17",3300,20
"18",3700,17.8
"19",3450,18.6
"20",4400,18.2
"21",3600,17.3
"22",3400,17.5
"23",2900,16.6
"24",3800,19.4
"25",3300,17.9
"26",4150,19
"27",3400,18.4
"28",3800,19
"29",3700,17.8
"30",4550,20
"31",3200,16.6
"32",4300,20.8
"33",3350,16.7
"34",4100,18.8
"35",3600,18.6
"36",3900,16.8
"37",3850,18.3
"38",4800,20.7
"39",2700,16.6
"40",4500,19.9
"41",3950,19.5
"42",3650,17.5
"43",3550,19.1
"44",3500,17
"45",3675,17.9
"46",4450,18.5
"47",3400,17.9
"48",4300,19.6
"49",3250,18.7
"50",3675,17.3
"51",3325,16.4
"52",3950,19
"53",3600,17.3
"54",4050,19.7
"55",3350,17.3
"56",3450,18.8
"57",3250,16.6
"58",4050,19.9
"59",3800,18.8
"60",3525,19.4
"61",3950,19.5
"62",3650,16.5
"63",3650,17
"64",4000,19.8
"65",3400,18.1
"66",3775,18.2
"67",4100,19
"68",3775,18.7
